customer_id,acquisition_month,cancelled_month,sex
0112bb07-984e-4afe-8460-f063cdddb096,2020-01-01,2020-02-01,female
0112f7a6-e26b-41f4-be19-5188aa4c9e45,2020-01-01,2020-02-01,female
011671e5-40d6-4a6e-a36e-08fa91efc421,2020-01-01,2020-02-01,female
0117ffc8-ad0e-4df7-844f-612ed25ead7c,2020-01-01,2020-02-01,female
011a2d32-9a8d-4a09-ac92-320a3ca312dd,2020-01-01,2020-02-01,female
011dca09-edf8-44a8-ac78-66bc2070188e,2020-01-01,2020-02-01,female
01245fda-7363-46a9-8a8c-3bc19c9d084c,2020-01-01,2020-02-01,female
012d38ef-b630-4d58-829d-8b3ec484e257,2020-01-01,2020-02-01,female
01318557-d7bd-4cd5-a253-90f92520a1c0,2020-01-01,2020-02-01,female
0131ac8d-6a94-419c-8891-6d8fc8306e84,2020-01-01,2020-02-01,female
0133373a-94bc-48e9-bfde-4a9df0b66415,2020-01-01,2020-02-01,female
0134a636-a4df-4a11-ab13-f641947fc18b,2020-01-01,2020-02-01,female
013c28e3-3c02-4d53-a629-6c0659368e89,2020-01-01,2020-02-01,female
013c7373-f8db-44cf-aac6-041087aa1cb5,2020-01-01,2020-02-01,female
0141a0bd-3cb7-4321-bfac-8e1db0c81b38,2020-01-01,2020-02-01,female
0142ed7c-d5bf-4bf2-bcca-47b56f52fcd5,2020-01-01,2020-02-01,female
0143b602-3c12-4a27-a59f-a132969b2720,2020-01-01,2020-02-01,female
0147f71d-ab90-45f7-8420-8b1a1c640407,2020-01-01,2020-02-01,female
014cbc35-2a14-44f7-9726-c40217bc87c4,2020-01-01,2020-02-01,female
014d47d6-4e9e-4ed4-87b4-2bcf8f051125,2020-01-01,2020-02-01,female
0151381c-1b58-4c10-ad9a-1b4fbf96a19c,2020-01-01,2020-02-01,female
0152c1b6-2870-4962-8215-f55f4821e462,2020-01-01,2020-02-01,female
01546472-c529-42d4-aab3-91da045ec05c,2020-01-01,2020-02-01,female
01552926-6e0e-4f5c-9afc-9aedb0793a3d,2020-01-01,2020-02-01,female
015533d4-9732-43a7-a794-7e5687aa3c46,2020-01-01,2020-02-01,female
0155d196-74fd-4d5a-a661-a861c03042c4,2020-01-01,2020-02-01,male
01579ad5-66de-4e13-ac7d-b27cce983033,2020-01-01,2020-02-01,female
0158b5d8-daca-4794-883d-3e94af9b2b51,2020-01-01,2020-02-01,female
0159e4a2-4a47-4e36-8e3e-3510b5ceb252,2020-01-01,2020-02-01,female
015a030c-8f21-488f-aba2-be97a9e0cfe3,2020-01-01,2020-02-01,female
015b1ac2-7d1a-4774-ad40-5740d9d87f81,2020-01-01,2020-02-01,female
015bf15b-1bdf-420e-afdb-23ffdaa9fd40,2020-01-01,2020-02-01,female
015d41f7-9eec-4b54-a61c-d75a38517681,2020-01-01,2020-02-01,female
015d7126-564f-4c32-836c-db155c7fb3ba,2020-01-01,2020-02-01,female
015f6e9e-2baf-4d1e-9620-6fa33c1a9a74,2020-01-01,2020-02-01,female
01628b29-ad3d-4a6f-b4e7-131d01943ddb,2020-01-01,2020-02-01,female
0163bb5f-9c13-4a71-9813-49ea56b1d45e,2020-01-01,2020-02-01,female
0165321d-b3a7-4c03-86fb-50e26e16f2fd,2020-01-01,2020-02-01,female
0165a416-3866-4fe3-8535-96f3d73c0d9f,2020-01-01,2020-02-01,female
0169bf57-e669-435b-8f3f-2de1a35e77cb,2020-01-01,2020-02-01,female
016b87a1-896b-43d6-829c-bd3545c9e83e,2020-01-01,2020-02-01,female
016dc99d-874b-4bcc-9628-abf4461a27a3,2020-01-01,2020-02-01,female
016f6456-d472-476b-b84a-ec511094eb00,2020-01-01,2020-02-01,female
016fd0ff-b364-40f0-b18e-0bb55e99c809,2020-01-01,2020-02-01,female
016fd152-039c-4661-a50c-7be049e34cc0,2020-01-01,2020-02-01,female
0173befb-84de-4357-8358-6099c0c03d49,2020-01-01,2020-02-01,female
01766dfa-c426-408a-a0ad-26345844ad77,2020-01-01,2020-02-01,female
017737c3-106e-4122-aa94-415564073f71,2020-01-01,2020-02-01,female
017a1694-f37d-4958-a0d0-0d9d8e9abf96,2020-01-01,2020-02-01,female
017e46ca-ad55-470f-8732-339a55b4a648,2020-01-01,2020-02-01,female
